5e-12+0i,6-2260.381881385872i
9.999999999999999e-12+0i,5.993335555555555-2257.868707108672i
1.5e-11+0i,5.986675555555556-2255.352266141248i
2e-11+0i,5.98002-2252.832575008261i
2.5e-11+0i,5.973368888888889-2250.309650233842i
3e-11+0i,5.966722222222223-2247.78350834147i
3.5e-11+0i,5.96008-2245.254165853858i
4e-11+0i,5.953442222222222-2242.721639292828i
4.5e-11+0i,5.946808888888889-2240.185945179193i
5e-11+0i,5.94018-2237.647100032636i
5.5e-11+0i,5.933555555555555-2235.105120371592i
6e-11+0i,5.926935555555556-2232.560022713127i
6.5e-11+0i,5.920319999999999-2230.011823572817i
6.999999999999999e-11+0i,5.913708888888888-2227.460539464635i
7.5e-11+0i,5.907102222222223-2224.906186900825i
8e-11+0i,5.9005-2222.348782391784i
8.499999999999999e-11+0i,5.893902222222222-2219.788342445949i
9e-11+0i,5.88730888888889-2217.224883569672i
9.5e-11+0i,5.88072-2214.658422267104i
9.999999999999999e-11+0i,5.874135555555555-2212.088975040078i
1.05e-10+0i,5.867555555555557-2209.516558387989i
1.1e-10+0i,5.86098-2206.941188807673i
1.15e-10+0i,5.854408888888889-2204.362882793299i
1.2e-10+0i,5.847842222222222-2201.78165683624i
1.25e-10+0i,5.84128-2199.197527424963i
1.3e-10+0i,5.834722222222222-2196.610511044908i
1.35e-10+0i,5.828168888888889-2194.020624178373i
1.4e-10+0i,5.821619999999999-2191.427883304394i
1.45e-10+0i,5.815075555555556-2188.832304898633i
1.5e-10+0i,5.808535555555556-2186.233905433257i
1.55e-10+0i,5.802-2183.632701376823i
1.6e-10+0i,5.795468888888888-2181.02870919416i
1.65e-10+0i,5.788942222222222-2178.421945346259i
1.7e-10+0i,5.78242-2175.812426290148i
1.75e-10+0i,5.775902222222222-2173.200168478781i
1.8e-10+0i,5.769388888888889-2170.585188360924i
1.85e-10+0i,5.76288-2167.967502381036i
1.9e-10+0i,5.756375555555556-2165.347126979155i
